CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,Score_S,Score_G,CarbonEmissions,CarbonIntensity,WaterUsage,WaterIntensity,EnergyConsumption,EnergyIntensity,Score_E,Score_ESG_Global
1,Company_0001,Finance,Middle East-Africa,2022,610.07,0.2003,2938.38,0.1342,54.491017964071844,43.49112426035502,31.49,0.051617027554215086,719.43,1.179258117920894,979.66,1.6058157260642218,38.772158731305,45.58476698524396
2,Company_0002,Energy,Latin America,2018,1681.71,0.0522,8110.28,0.074,26.796407185628734,37.27810650887573,86.2,0.05125735114853334,504.4,0.2999328064886336,3180.2,1.8910513703313887,56.8582825004187,40.31093206497439
3,Company_0003,Technology,Asia-Pacific,2019,450.89,0.1601,3130.37,0.0419,46.706586826347305,56.360946745562124,26.1,0.05788551531415645,174.48,0.38696799662888953,808.9,1.7940074075716916,52.84031410414304,51.96928255868416
4,Company_0004,Energy,Europe,2023,517.27,0.0649,1889.91,0.1298,39.97005988023952,25.443786982248522,18.57,0.035900013532584533,548.45,1.0602779979507801,1369.19,2.646954201867497,35.31490855630261,33.57625180626355
5,Company_0005,Energy,Asia-Pacific,2021,716.84,0.2147,3720.06,0.0014,37.87425149700599,72.04142011834318,29.7,0.04143183974108587,633.92,0.8843256514703419,1526.52,2.1295128620054684,43.928306394531056,51.281326003293415
6,Company_0006,Retail,Asia-Pacific,2019,3430.72,0.0539,50028.57,-0.0571,9.431137724550897,58.43195266272188,113.55,0.03309800858128906,1322.3,0.3854292976401455,3334.31,0.9718980272362653,75.6820119109015,47.84836743272476
7,Company_0007,Technology,Middle East-Africa,2019,1319.13,0.0511,10735.34,0.036,45.80838323353293,45.71005917159763,87.82,0.0665741814680888,1799.23,1.363951998665787,867.38,0.6575394388725903,39.72918488081716,43.749209095315905
8,Company_0008,Technology,Latin America,2023,725.36,0.0234,7677.36,0.0875,28.59281437125748,30.473372781065088,13.89,0.019149112164993935,352.76,0.48632403220469833,1132.22,1.5609076872173817,71.9845205083184,43.683569220213656
9,Company_0009,Technology,North America,2024,1425.25,0.0907,16694.48,0.1227,71.55688622754491,36.538461538461526,110.32,0.07740396421680407,982.71,0.6895000877039116,768.25,0.5390282406595334,52.803456732010844,53.63293483267243
10,Company_0010,Energy,Latin America,2018,1123.95,0.0786,8321.2,0.0871,37.425149700598794,38.31360946745562,61.19,0.05444192357311268,430.7,0.3832020997375328,1456.35,1.2957426931803016,61.2277894243528,45.65551619746906
