CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption,New_Revenue
1,Company_0001,Finance,Middle East-Africa,2022,610.07,0.2003,2938.38,0.1342,46.7,39.7,58.8,41.5,31.49,719.43,979.66,78.59
2,Company_0002,Energy,Latin America,2018,1681.71,0.0522,8110.28,0.074,44.9,57.0,40.3,37.3,86.2,504.4,3180.2,211.7
3,Company_0003,Technology,Asia-Pacific,2019,450.89,0.1601,3130.37,0.0419,52.3,53.1,53.6,50.2,26.1,174.48,808.9,94.54
4,Company_0004,Energy,Europe,2023,517.27,0.0649,1889.91,0.1298,38.2,36.2,49.1,29.3,18.57,548.45,1369.19,91.72
5,Company_0005,Energy,Asia-Pacific,2021,716.84,0.2147,3720.06,0.0014,51.0,44.6,47.7,60.8,29.7,633.92,1526.52,64.91
6,Company_0006,Retail,Asia-Pacific,2019,3430.72,0.0539,50028.57,-0.0571,52.1,75.9,28.7,51.6,113.55,1322.3,3334.31,326.39
7,Company_0007,Technology,Middle East-Africa,2019,1319.13,0.0511,10735.34,0.036,45.6,40.8,53.0,43.0,87.82,1799.23,867.38,471.81
8,Company_0008,Technology,Latin America,2023,725.36,0.0234,7677.36,0.0875,48.8,72.3,41.5,32.7,13.89,352.76,1132.22,121.98
9,Company_0009,Technology,North America,2024,1425.25,0.0907,16694.48,0.1227,53.4,53.3,70.2,36.8,110.32,982.71,768.25,661.15
10,Company_0010,Energy,Latin America,2018,1123.95,0.0786,8321.2,0.0871,49.0,61.5,47.4,38.0,61.19,430.7,1456.35,202.49
11,Company_0011,Finance,Latin America,2018,777.14,0.0443,3704.41,0.1085,41.7,45.2,49.3,30.7,56.02,499.89,1103.58,181.12
12,Company_0012,Technology,Asia-Pacific,2018,412.55,0.2394,2260.36,0.1232,55.0,56.9,61.8,46.4,16.43,325.22,593.65,54.86
